col,win,n_a,n_b,n_bal,n_drop,n_add,drop_pop_share,add_pop_share,biggest_drop,d_unbal,d_bal,disc,retained_a,dropped_a,keep_col
account_t_d,2011-2014,77,77,77,0,0,0.0,0.0,-,13.359070596721033,13.359070596721033,0.0,42.34459801434721,,True
account_t_d,2014-2017,77,77,77,0,0,0.0,0.0,-,9.531850627102195,9.531850627102195,0.0,55.703668611068245,,True
account_t_d,2017-2021,77,77,77,0,0,0.0,0.0,-,5.419774722814196,5.419774722814196,0.0,65.23551923817044,,True
account_t_d,2021-2024,77,77,77,0,0,0.0,0.0,-,4.614463327439935,4.614463327439935,0.0,70.65529396098464,,True
borrow_any_t_d,2014-2017,77,77,77,0,0,0.0,0.0,-,-3.3378375222702417,-3.3378375222702417,0.0,47.751962927054215,,False
borrow_any_t_d,2017-2021,77,77,77,0,0,0.0,0.0,-,5.05382593657513,5.05382593657513,0.0,44.414125404783974,,False
borrow_any_t_d,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),10.123674166526158,10.166697995574935,-0.043023829048777884,49.424927512310326,51.0018993,False
fh1,2021-2024,74,71,69,5,2,31.694831346528773,2.2398233966227536,China (27.2%),-1.4006199379651285,1.8146774601486015,-3.21529739811373,17.88003872306673,28.306230026247697,True
fh1_fh2,2021-2024,74,71,69,5,2,31.694831346528773,2.2398233966227536,China (27.2%),-0.8498474264758329,2.697863485062932,-3.547710911538765,29.394341085447223,40.38114684950058,True
fh2,2021-2024,74,71,69,5,2,31.694831346528773,2.2398233966227536,China (27.2%),-0.6716568370017804,2.717989841425993,-3.3896466784277735,21.693523702247102,32.02656664350631,True
fiaccount_t_d,2011-2014,77,77,77,0,0,0.0,0.0,-,12.39793545732637,12.39793545732637,0.0,42.34459801434721,,True
fiaccount_t_d,2014-2017,77,77,77,0,0,0.0,0.0,-,8.8209872157043,8.8209872157043,0.0,54.74253347167358,,True
fiaccount_t_d,2017-2021,77,77,77,0,0,0.0,0.0,-,4.40053558288168,4.40053558288168,0.0,63.56352068737788,,True
fiaccount_t_d,2021-2024,77,77,77,0,0,0.0,0.0,-,3.0300508359463265,3.0300508359463265,0.0,67.96405627025956,,True
fin10,2011-2014,77,77,77,0,0,0.0,0.0,-,3.14274109106237,3.14274109106237,0.0,6.906111951763282,,False
fin10,2014-2017,77,77,77,0,0,0.0,0.0,-,0.6105168904184914,0.6105168904184914,0.0,10.048853042825652,,False
fin10,2017-2021,77,77,77,0,0,0.0,0.0,-,5.794983822028023,5.794983822028023,0.0,10.659369933244143,,False
fin10,2021-2024,77,77,77,0,0,0.0,0.0,-,1.8202831581669763,1.8202831581669763,0.0,16.454353755272166,,False
fin17a,2011-2014,77,77,77,0,0,0.0,0.0,-,4.5608421274075255,4.5608421274075255,0.0,17.638516389249883,,False
fin17a,2014-2017,77,77,77,0,0,0.0,0.0,-,-1.2097025798961134,-1.2097025798961134,0.0,22.19935851665741,,False
fin17a,2017-2021,77,77,77,0,0,0.0,0.0,-,1.497137844793592,1.497137844793592,0.0,20.989655936761295,,False
fin17a,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),11.218134656596511,11.090274025448153,0.12786063114835855,22.614654412703246,17.9281211,False
fin17a_17a1_d,2011-2014,77,77,77,0,0,0.0,0.0,-,4.5608421274075255,4.5608421274075255,0.0,17.638516389249883,,True
fin17a_17a1_d,2014-2017,77,77,77,0,0,0.0,0.0,-,-1.2097025798961134,-1.2097025798961134,0.0,22.19935851665741,,True
fin17a_17a1_d,2017-2021,77,77,77,0,0,0.0,0.0,-,3.2677709509456143,3.2677709509456143,0.0,20.989655936761295,,True
fin17a_17a1_d,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),13.700640171846512,13.548033122212313,0.1526070496341987,24.410033937341108,18.816459,True
fin17b,2021-2024,61,61,58,3,3,4.076701800099988,1.0245924089159346,Russian Federation (3.9%),9.119097676380182,9.052774654018599,0.06632302236158338,5.4282314657973805,2.3039368724314646,False
fin17c,2014-2017,77,77,77,0,0,0.0,0.0,-,1.1958454673240393,1.1958454673240393,0.0,8.976960710035335,,False
fin17c,2017-2021,77,77,77,0,0,0.0,0.0,-,-1.4569213717546603,-1.4569213717546603,0.0,10.172806177359375,,False
fin17c,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),7.683231166569973,7.480500967742161,0.20273019882781185,8.918615004432526,1.4878537,False
fin22a_22a1_22g_d,2014-2017,77,77,77,0,0,0.0,0.0,-,-0.04849647360447484,-0.04849647360447484,0.0,15.675199715024856,,True
fin22a_22a1_22g_d,2017-2021,77,77,77,0,0,0.0,0.0,-,6.957551125090076,6.957551125090076,0.0,15.626703241420381,,True
fin22a_22a1_22g_d,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),0.6534431081871972,0.8833182962021766,-0.22987518801497941,22.354379178495478,30.780098,True
fin24aSD_ND,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),-0.21808619430576925,0.31592237553876856,-0.5340085698445378,54.20987552694518,73.7831322,False
fin24bor,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),2.5781092259620273,2.795409603342083,-0.21730037738005592,5.021154277453604,12.9859629,False
fin24sav,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),2.344829909200296,2.198001624788045,0.14682828441225126,18.0583240524174,12.6765608,False
fin24sell,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),5.606695065614382,5.55562746869423,0.05106759692015128,3.898141235071301,2.0263375999999997,False
fin24work,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),-4.889296237641073,-4.961949357057129,0.07265311941605646,26.71850311505546,24.0555156,False
fin25e2,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),2.206227717977576,3.1672744335689416,-0.9610467155913653,34.08588869685408,69.3115669,False
fin26a,2017-2021,77,77,77,0,0,0.0,0.0,-,12.80494532553077,12.80494532553077,0.0,16.285656095826205,,False
fin26a,2021-2024,77,76,76,1,0,2.7282561035419177,0.0,Russian Federation (2.7%),5.483554136700047,6.310282845370761,-0.8267287086707142,28.26387271268626,58.566332499999994,False
fin2_t_d,2011-2014,77,77,77,0,0,0.0,0.0,-,8.852239106785039,8.852239106785039,0.0,24.007855979411996,,False
fin2_t_d,2014-2017,77,77,77,0,0,0.0,0.0,-,8.702811468234422,8.702811468234422,0.0,32.860095086197035,,False
fin2_t_d,2017-2021,77,77,77,0,0,0.0,0.0,-,3.150638263757976,3.150638263757976,0.0,41.56290655443146,,False
fin2_t_d,2021-2024,77,77,77,0,0,0.0,0.0,-,5.792850115706557,5.792850115706557,0.0,44.71354481818943,,False
fin30,2014-2017,77,77,77,0,0,0.0,0.0,-,-2.7788596487504122,-2.7788596487504122,0.0,56.997727629492836,,False
fin30,2017-2021,77,77,77,0,0,0.0,0.0,-,-5.130936437348744,-5.130936437348744,0.0,54.218867980742424,,False
fin30,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-3.7633829239626166,0.3989013641587533,-4.16228428812137,44.92564725527231,57.83190254636932,False
fin31a,2014-2017,77,77,77,0,0,0.0,0.0,-,6.311157561670055,6.311157561670055,0.0,7.656267104745491,,False
fin31a,2017-2021,77,77,77,0,0,0.0,0.0,-,1.7906805410918825,1.7906805410918825,0.0,13.967424666415546,,False
fin31a,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-3.814266493359117,0.42919523679649885,-4.243461730155616,11.514643477351813,24.672610741550304,False
fin31a_31b,2014-2017,77,77,77,0,0,0.0,0.0,-,6.91947994329273,6.91947994329273,0.0,8.24469177275779,,False
fin31a_31b,2017-2021,77,77,77,0,0,0.0,0.0,-,3.1918837276607146,3.1918837276607146,0.0,15.16417171605052,,False
fin31a_31b,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-0.7264315038558209,2.818609703843814,-3.5450412076996347,14.8110142360116,25.8033452919667,False
fin31a_31b_s,2017-2021,39,47,38,1,9,0.7875767645123798,13.052505263016283,Ghana (0.8%),8.218782460073761,10.169600966006143,-1.9508185059323822,36.28496934895825,29.162523800000002,False
fin31a_31b_s,2021-2024,47,50,41,6,9,51.397656068072926,48.21469054494621,China (42.7%),-2.412395067430708,5.0227147319080885,-7.435109799338797,44.37211595602551,44.519089831055545,False
fin31a_s,2021-2024,39,36,31,8,5,58.07068796451173,3.149388844510444,China (44.5%),-2.101754965473802,1.9986322156536858,-4.100387181127488,35.10103260694638,41.50495600174487,False
fin31b,2014-2017,77,77,77,0,0,0.0,0.0,-,6.040699499353619,6.040699499353619,0.0,1.1277465225412575,,False
